,id,title,original_title,overview,release_date,year,budget,revenue,profit,runtime,popularity,vote_average,vote_count,genres,production_companies,production_countries,spoken_languages
433,243716.0,Dangerous Obsession,Ossessione fatale,"Tony is a young man with a gambling habit: he loses $10,000 in a poker game with Drumond, the boss of the neighborhood, and has 24 hours to settle the debt. To obtain this sum, he agrees to steal a large-scale car on commission, but finds himself unexpectedly forced to kidnap Liza, a young and beautiful television journalist who owns the car. Both are attracted to each other and experience (with mutual pleasure) a sexual relationship at Liza's home. After sex, Liza's drugs Tony's food and handcuffs him to the headboard of the bed, overturning the situation in her favor, making him her hostage. Completely naked and immobilized, he becomes her sex toy, allowing her to try new and pleasant experiences. By the time Tony is freed, Liza is ready to move on, but Tony remains hopelessly obsessed with her.",1991-12-16,1991.0,0.0,0.0,0,87.0,0.7923,3.6,5.0,Thriller,,Italy,Italiano
434,161529.0,Must Have Been Love,En som deg,"A Finnish-Norwegian love story with an unexpected shape and development. Shot in Oslo, Helsinki, Istanbul and Berlin. The film focuses on showing the actual moments that lead to getting to know one another, building a relationship and to breaking up. The film takes part in Kaisa’s attempt of getting involved with two different men that look almost exactly the same, questioning where the thin line is between someone potentially being the love of your life or not. Shooting the film with the approach of a workshop and closely involving the actors allows the film to take shape as a unique, unpredictable cinematic expression touching the basis and complexity of human behavior.",2012-10-19,2012.0,0.0,0.0,0,90.0,2.3817,6.0,11.0,"Drama,Romance",4 1/2,"Finland,Norway","Türkçe,Norsk,suomi,English"
435,115304.0,Hoore! Hoore!,Hoore! Hoore!,"This musical tells the story of a girl named Nurul Aiman who possesses a chubby body, less-than-desirable physical features and a naive but kind heart. Despite her looks, she is as much a lady as other girls her age. Her best friends are Lana dan Azadan, whom she has known since childhood and she lives in a backwater village with her mother Lia, her father Hairil and her grandmother Nenda Zaimah. In school, Aiman is friends with a guy named Johari, who is good-looking and smart, and who also secretly harbours feelings for Aiman. At the same time, Lana and the most popular girl in school, Rita, fancy Johari.",2012-05-24,2012.0,0.0,0.0,0,90.0,0.6413,0.0,0.0,"Music,Comedy,Romance",,Malaysia,Bahasa melayu
436,501658.0,Bystanders,방관자들,The truth of illegal sale of land and illegal eviction of residents was revealed at the worst National Assembly hearing that was overshadowed by the 2002 World Cup.,2022-01-29,2022.0,0.0,0.0,0,16.0,1.2689,7.0,1.0,"Mystery,Crime",,South Korea,한국어/조선말
438,134405.0,Queen Under Review: 1980 - 1991,Queen Under Review: 1980 - 1991,"This documentary includes historical musical performances re-assessed by a panel of esteemed experts, as well as obscure footage, rare interviews and rarely seen photographs.",2007-11-20,2007.0,25000.0,0.0,-25000,67.0,0.0674,0.0,0.0,"Documentary,Music",,United States of America,English
439,722810.0,Nana et les filles du bord de mer,Nana et les filles du bord de mer,"Nana has just been left by Mathieu. She goes looking for another man on social media and dating sites, hoping to find the worst. Nana's thwarted desires and loves come and go to the rhythm of clicks as to the rhythm of the tides.",2020-08-12,2020.0,0.0,0.0,0,77.0,0.1445,3.333,6.0,"Comedy,Drama",Cassia's Productions,France,Français
440,502908.0,Digital Stone Exhibition,Digital Stone Exhibition,documentary short,2008-10-04,2008.0,0.0,0.0,0,28.0,0.0071,0.0,0.0,Documentary,,,
441,111166.0,Hell at My Heels,Hell at My Heels,"Two men are chained together and left to die in the unforgiving, scorching desert sun. With revenge on their minds, they are forced to overcome the elements so that they can kill the sadistic scoundrel that left them to die.",2011-08-23,2011.0,0.0,0.0,0,77.0,0.0641,1.0,2.0,"Action,Western",Dudez Productions,Canada,
442,557817.0,At the Fringes of the World,An den Rändern der Welt,"They live on the edge of the known world - far from civilization but affected by its consequences nonetheless. The photographer Markus Mauthe visited these last indigenous peoples to capture the inherent beauty of their cultures, before they too fall victim to ever-advancing globalisation. The journey leads from South Sudan and Ethiopia to Malay sea nomads and Brazilian Indians in Mato Grosso, who have started to defend themselves against the destruction of their natural habitat. The result is a film that captures intimate and unadulterated encounters with sumptuous photography – while also serving as an appeal for the preservation of indigenous cultures, which will surely perish unless we rethink and act accordingly.",2018-11-01,2018.0,0.0,0.0,0,0.0,0.3376,6.0,1.0,Documentary,Filmtank,Germany,Deutsch
443,165076.0,Gumrah,Gumrah,"Roshni Chadha makes her living, singing in various places and this makes her the breadwinner of her home. She soon gets to meet the handsome and wealthy Rahul Malhotra, who finds out that she can actually sing professionally and he helps her to attain this goal, which soon became a success and Roshni falls in love with Rahul and finds out that he has the same feelings for her. On a foreign trip, Roshni is arrested by the police for having in her possession cocaine, Rahul disappears leaving Roshni in hot-soup and now she must prepare to undergo her prison terms as there is no one to help her.",1993-08-03,1993.0,0.0,0.0,0,149.0,4.1188,7.0,8.0,"Drama,Action,Crime",Dharma Productions,India,हिन्दी
444,390272.0,No Address,ඇඩ්‍රස් නෑ,"Do not hear, do not look, do not seek and do not see, No sky, no earth. No Address...",2015-10-23,2015.0,0.0,0.0,0,120.0,0.6448,2.667,3.0,"Crime,Drama,Family",,,සිංහල
445,718978.0,For Crime's Sake,For Crime's Sake,A Krazy Kat Cartoon,1927-11-11,1927.0,0.0,0.0,0,0.0,0.0168,0.0,0.0,Animation,"Charles Mintz Productions,Paramount Pictures",,
447,760310.0,In Silico,In Silico,In Silico explores an audacious 10-year quest to simulate the entire human brain on supercomputers.,2020-11-11,2020.0,0.0,0.0,0,83.0,0.2726,7.0,1.0,Documentary,"Couple 3 Films,Hedgehog Films,Sandbox Films",United States of America,English
448,354689.0,Sisa,Sisa,"Narcisa ""Sisa"" Dalangin is a young Filipina during the Spanish Occupation & is a childhood friend of Jose Rizal.",2008-06-12,2008.0,0.0,0.0,0,0.0,0.7456,0.0,0.0,"Drama,History",OnCAM Productions,Philippines,
449,634197.0,Here to Fall,Here to Fall,"Their world collapsing around them, a girl struggles to catch up with her father.",2013-01-01,2013.0,0.0,0.0,0,6.0,0.0214,0.0,0.0,"Adventure,Animation",,"Ireland,United Kingdom",English
450,685205.0,Quilt Fever,Quilt Fever,"Welcome to “The Academy Awards of quilting”, a weeklong spectacle in which quilters from all over the world gather in Paducah, Kentucky every year for its huge quilt competition.",2019-06-19,2019.0,0.0,0.0,0,16.0,0.1452,6.3,3.0,Documentary,Glassbreaker Films,United States of America,English
451,56607.0,Natalie,나탈리,"People who have build a wall around themselves. A sculptor Jun-hyeok, an art critic Min-woo, and a modern dance student Mi-ran. A mystery melodrama about the love and secrets of the three people.",2010-10-28,2010.0,0.0,0.0,0,88.0,2.7929,5.5,28.0,"Drama,Comedy,Romance",,South Korea,한국어/조선말
452,824784.0,"Alone Sleeps the Water, Frozen She Awakes",Porque duerme sola el agua amanece helada,"As teardrops fall to snow, they freeze and break, with a sound.",2021-05-01,2021.0,0.0,0.0,0,5.0,0.0143,0.0,0.0,,,Argentina,No Language
